ИД;Название организации
2;Самаратранснефть-Терминал
5;Уралстройэнергомонтаж
6;ТД Химмаш-Курган
7;Оренбурггазпром
8;ПромАрм
9;Ай-Ти-Си
10;Канбайкал
11;Автоматизация технологических систем
12;Автотрейдинг
13;Аганнефтегазгеология
14;Агропромснаб
15;Адлерская ТЭС
17;АЗОВВОДОКАНАЛ
18;Азотно-кислородный завод
19;АИР
20;АиСис-Регион
21;Атакайцемент
22;Алетейя
23;Алирос-СПб
24;АлтайСпецИзделия
25;Алхим
26;Альбатрос
27;Ангор
28;Антипинский НПЗ
29;Аргон
31;Арктикгаз
32;Главнефтеснаб
33;Армагус
34;Арматурно-фланцевый завод
35;АРМГАЗЭНЕРГО
36;Арнест
37;Артмехстрой
38;Арчнефтегеология
39;Астрагал
40;Астраханская ГРЭС
41;Астраханская ТЭЦ №2
42;Астраханский Газоперерабатывающий Завод
43;Астраханьгазпром
44;Астраханьморнефтегаз
45;АСУ-Технология
47;Атоммашэкспорт
48;АТЭКС-Электро
49;АТ-Электро
50;Афипский НПЗ
51;Ачимгаз
52;Аэропорт
53;Аэропорт Минеральные Воды
54;аэропорт СОЧИ
55;Ростовская АЭС
56;БАЗ
57;Базовый элемент
58;Балаковорезинотехника
59;Балаковская АЭС
60;Балаковская ТЭЦ-4
61;Балаковские минудобрения
62;БалтАрмИнжиниринг
63;Баррель
64;Баррикады
65;Башгипронефтехим
66;Башнефть-Розница
67;Башкирэнерго
69;Башнефть
70;БашнефтьГеопроект
71;Башнефть-Добыча
73;Башпромкомплект
74;Башкирская генерирующая компания
75;Безопасные технологии
78;Белозерный ГПК
79;Белореченские минудобрения
80;Бенат
82;Боровская птицефабрика
83;Боровской молокозавод
84;Бугурусланнефть
85;Бузулукнефть
87;Бурнефтегаз
88;Бурэнерго
89;Быстринскнефть
90;ВАННОРНЕФТЬ
92;Варьеганнефтегаз
93;Варьеганнефть
94;Вверхенебаканский цементный завод
96;Вектор
98;Велес
99;Велесстрой
100;Взлёт
101;Виво-Эксклюзив
102;ВИС
103;ВНИИнефть-Западная Сибирь
104;ВНИПИГаздобыча
105;ВНИПИгаздобыча Уренгойский филиал
106;ВНИПИэнергопром Южно-Уральский филиал
107;ПРОМТЕХ, бывший ХимПром
108;Вода доставка
109;Тюмень Водоканал
110;Водоканал Аксай
111;Водоканал Астрахань
112;Водоканал Волгодонск
113;Водоканал Невинномысск
114;Водоканал Ростов-на-Дону
115;Водоканал Самара
116;Водоканал Ставрополь
117;Уфаводоканал
118;Водоканал Шахты
119;Водоканалстройкомплект
120;Военкоматы
121;Волганефтемаш
122;ВолгоУралНИПИгаз
123;Волгограднефтепроект
124;Волгоградская генерация
125;Волгоградская ГРЭС
126;Волгоградская ТЭЦ №2
127;Волгоградская ТЭЦ №3
128;Волгоградский алюминиевый завод
129;Омсктехуглерод (Волгоградский филиал)
130;Волгоградский кислородный завод
132;Волгодонская АЭС
133;Волгодонская ТЭЦ-2
134;Волгонефтемаш
135;Волжская ТЭЦ-1
136;Волжская ТЭЦ-2
137;Волжский абразивный завод
140;Волжский оргсинтез
141;Волжский подшипниковый завод
143;ВОЛЖСКИЙ ТРУБНЫЙ ЗАВОД
145;Волтайр-пром
146;Воронежсахар
147;Вуктыльское газопромысловое управление
148;Газинвест
149;ГАЗКОМПЛЕКТСЕРВИС
150;ГазНИИпроект
